"placename","sampling_event","longitude","latitude"
"CT-1003","2017",-63.0179912,-9.1419043
"CT-1003","2019",-63.0179912,-9.1419043
"CT-1004","2017",-63.0051215,-9.1419047
"CT-1004","2019",-63.0051215,-9.1419047
"CT-1005","2017",-62.9922519,-9.1419046
"CT-1005","2019",-62.9922519,-9.1419046
"CT-1006","2017",-62.9793822,-9.1419041
"CT-1006","2019",-62.9793822,-9.1419041
"CT-1041","2020",-63.017991,-9.129115
"CT-1042","2020",-63.005121,-9.12915
"CT-1043","2020",-62.99225,-9.129111
"CT-1118","2017",-63.005121,-9.1035357
"CT-1119","2017",-62.9922527,-9.1035356
"CT-1155","2018",-63.0179886,-9.0907456
"CT-1155","2020",-63.0179886,-9.0907456
"CT-1156","2018",-63.0051208,-9.090746
"CT-1156","2020",-63.0051208,-9.090746
"CT-1157","2018",-62.992253,-9.0907459
"CT-1157","2020",-62.992253,-9.0907459
"CT-1193","2017",-63.017988,-9.0779559
"CT-1193","2019",-63.017988,-9.0779559
"CT-1194","2017",-63.0051206,-9.0779563
"CT-1194","2019",-63.0051206,-9.0779563
"CT-1195","2019",-62.9922532,-9.0779562
"CT-143","2016",-62.8376808,-9.4360271
"CT-143","2017",-62.8376808,-9.4360271
"CT-143","2018",-62.8376808,-9.4360271
"CT-144","2016",-62.8248005,-9.4360209
"CT-145","2016",-62.8119201,-9.4360142
"CT-145","2018",-62.8119201,-9.4360142
"CT-146","2016",-62.7990398,-9.4360071
"CT-146","2017",-62.7990398,-9.4360071
"CT-168","2017",-63.0051256,-9.423275
"CT-173","2018",-62.940726,-9.42327
"CT-181","2016",-62.8376868,-9.4232377
"CT-181","2017",-62.8376868,-9.4232377
"CT-181","2018",-62.8376868,-9.4232377
"CT-182","2016",-62.8248069,-9.4232315
"CT-182","2017",-62.8248069,-9.4232315
"CT-183","2016",-62.8119271,-9.4232248
"CT-204","2020",-63.030159,-9.410485
"CT-205","2020",-63.018005,-9.410485
"CT-206","2017",-63.0051254,-9.4104855
"CT-207","2017",-62.992246,-9.4104855
"CT-208","2017",-62.9793665,-9.410485
"CT-210","2017",-62.9536076,-9.4104825
"CT-211","2018",-62.9407282,-9.4104806
"CT-213","2018",-62.9149693,-9.4104753
"CT-219","2016",-62.8376928,-9.4104482
"CT-219","2017",-62.8376928,-9.4104482
"CT-220","2016",-62.8248134,-9.4104421
"CT-220","2017",-62.8248134,-9.4104421
"CT-220","2018",-62.8248134,-9.4104421
"CT-221","2016",-62.811934,-9.4104355
"CT-221","2017",-62.811934,-9.4104355
"CT-221","2018",-62.811934,-9.4104355
"CT-240","2019",-63.0566411,-9.3976916
"CT-240","2020",-63.0566411,-9.3976916
"CT-242","2020",-63.030159,-9.397696
"CT-244","2020",-63.005125,-9.397696
"CT-245","2020",-62.99225,-9.397694
"CT-246","2017",-62.9793673,-9.3976955
"CT-247","2017",-62.9664883,-9.3976945
"CT-248","2018",-62.9536093,-9.397693
"CT-249","2018",-62.9407303,-9.3976911
"CT-251","2018",-62.9149724,-9.3976859
"CT-252","2018",-62.9020934,-9.3976825
