"sampling_event","longitude","latitude","placename","dist_water","intensity_500","intensity_250","effort","Atelocynus","Dasyprocta","Myrmecophaga","Pecari","Tapirus","Cuniculus","Leopardus","Mazama","Nasua","Tayassu","Puma","Tamandua","Didelphis","Eira","Dasypus","Priodontes","Panthera"
"2017",-63.0179912,-9.1419043,"CT-1003",400,75.9794968668855,19.7009275306616,41,8,7,23,43,17,0,0,0,0,0,0,0,0,0,0,0,0
"2019",-63.0179912,-9.1419043,"CT-1003",400,0.352565235549115,0,59,3,73,0,0,6,2,2,26,3,6,0,0,0,0,0,0,0
"2017",-63.0051215,-9.1419047,"CT-1004",694.6220093,0.979312969940278,0,41,5,40,0,17,27,43,5,0,0,0,0,0,0,0,0,0,0
"2019",-63.0051215,-9.1419047,"CT-1004",694.6220093,99.8969129775626,18.1080615154752,62,0,146,3,260,11,5,6,15,0,0,0,0,0,0,0,0,0
"2017",-62.9922519,-9.1419046,"CT-1005",400,68.0844389089653,15.6602895994307,42,3,9,0,12,23,6,0,0,0,44,0,0,0,0,0,0,0
"2019",-62.9922519,-9.1419046,"CT-1005",400,0.4185386812745,0,28,11,0,0,3,27,0,0,0,6,0,0,0,0,0,0,0,0
"2017",-62.9793822,-9.1419041,"CT-1006",250,0.916088417786784,0,41,3,81,11,22,0,52,0,0,9,60,0,0,0,0,0,0,0
"2019",-62.9793822,-9.1419041,"CT-1006",250,54.968996438575,17.8865792333971,45,0,34,41,37,0,0,3,18,15,333,143,3,0,0,0,0,0
"2020",-63.017991,-9.129115,"CT-1041",282.8429871,115.78300454897,30.4766688722909,47,5,6,0,9,0,5,0,23,36,5,0,3,2,4,0,0,0
"2020",-63.005121,-9.12915,"CT-1042",412.3110046,98.7661752417193,28.2027055698063,48,0,86,0,52,0,86,0,0,106,12,12,0,20,0,18,0,0
"2020",-62.99225,-9.129111,"CT-1043",70.710701,75.6834017592846,15.1377642013224,47,0,8,0,0,0,18,0,0,12,0,0,0,2,4,0,6,0
"2017",-63.005121,-9.1035357,"CT-1118",0,83.8972528317278,9.17619944205409,43,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017",-62.9922527,-9.1035356,"CT-1119",111.8030014,75.6205699062129,23.8361274007655,58,0,88,6,201,0,50,0,0,3,0,0,0,0,0,0,0,0
"2018",-63.0179886,-9.0907456,"CT-1155",100,0,0,31,0,36,0,49,13,0,0,15,6,0,0,0,0,0,0,0,0
"2020",-63.0179886,-9.0907456,"CT-1155",100,59.2341797047212,17.5896987276329,49,0,5,0,13,7,0,0,191,0,109,6,3,0,0,0,11,0
"2018",-63.0051208,-9.090746,"CT-1156",751.664978,0,0,31,3,10,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0
"2020",-63.0051208,-9.090746,"CT-1156",751.664978,0,0,31,0,5,0,1,0,0,0,15,0,0,0,0,0,0,21,0,0
"2018",-62.992253,-9.0907459,"CT-1157",250,0,0,31,0,57,0,6,0,0,0,15,32,99,0,0,0,0,0,0,0
"2020",-62.992253,-9.0907459,"CT-1157",250,0,0,49,0,109,0,49,31,47,0,91,7,5,0,0,0,0,0,0,0
"2019",-63.017988,-9.0779559,"CT-1193",206.1549988,0,0,43,3,9,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0
"2017",-63.017988,-9.0779559,"CT-1193",206.1549988,0,0,59,6,88,0,9,21,18,0,92,0,0,0,0,0,3,0,0,0
"2017",-63.0051206,-9.0779563,"CT-1194",111.8030014,0,0,44,0,9,0,10,0,0,5,0,12,0,0,0,0,9,0,4,0
"2019",-62.9922532,-9.0779562,"CT-1195",158.1139984,0,0,45,6,9,0,19,12,3,0,25,0,0,0,0,0,0,0,3,0
"2016",-62.8376808,-9.4360271,"CT-143",50,0,0,42,0,0,0,274,0,6,6,170,3,43,0,0,0,0,0,0,0
"2017",-62.8376808,-9.4360271,"CT-143",50,0,0,58,6,6,0,274,0,49,2,0,78,6,0,12,0,0,0,3,0
"2018",-62.8376808,-9.4360271,"CT-143",50,0,0,57,3,173,0,162,0,0,12,68,0,24,0,3,0,0,0,0,21
"2016",-62.8248005,-9.4360209,"CT-144",320.1560059,0,0,43,0,11,0,3,0,0,0,0,0,3,0,0,0,0,10,0,0
"2016",-62.8119201,-9.4360142,"CT-145",269.2579956,0,0,13,0,33,0,25,15,0,3,26,0,0,0,0,0,0,8,0,0
"2018",-62.8119201,-9.4360142,"CT-145",269.2579956,0,0,4,0,0,0,15,0,31,0,0,0,0,0,0,0,0,0,0,0
"2016",-62.7990398,-9.4360071,"CT-146",250,0,0,42,0,3,0,29,0,0,0,46,0,0,0,0,0,0,0,0,0
"2017",-62.7990398,-9.4360071,"CT-146",250,0,0,58,0,16,6,0,0,0,0,0,6,0,0,0,0,0,0,6,0
"2017",-63.0051256,-9.423275,"CT-168",141.4210052,0,0,64,0,38,0,0,0,14,28,0,12,0,0,0,0,3,0,0,0
"2018",-62.940726,-9.42327,"CT-173",901.3880005,0,0,44,0,33,0,10,0,21,0,0,0,0,0,0,0,0,0,0,0
"2016",-62.8376868,-9.4232377,"CT-181",570.0880127,0,0,40,0,55,0,93,0,15,0,20,0,0,0,0,0,0,40,0,0
"2017",-62.8376868,-9.4232377,"CT-181",570.0880127,0,0,38,0,39,0,26,9,3,0,0,0,0,0,0,0,0,0,0,0
"2018",-62.8376868,-9.4232377,"CT-181",570.0880127,0,0,55,0,56,0,129,9,172,0,26,0,0,0,0,0,3,0,0,0
"2016",-62.8248069,-9.4232315,"CT-182",390.5119934,0,0,43,0,77,0,69,0,3,0,0,0,26,0,0,0,28,62,0,0
"2017",-62.8248069,-9.4232315,"CT-182",390.5119934,0,0,58,0,63,0,48,0,0,0,0,3,0,0,0,3,6,0,0,0
"2016",-62.8119271,-9.4232248,"CT-183",494.9750061,0,0,43,0,27,0,41,0,0,13,3,0,6,0,0,0,0,0,6,0
"2020",-63.030159,-9.410485,"CT-204",304.1380005,0,0,44,2,19,3,0,0,0,0,16,0,5,0,1,0,0,0,0,0
