"Atelocynus","Crypturellus","Cuniculus","Dasyprocta","Dasypus","Didelphis","Eira","Herpailurus","Hydrochoerus","Leopardus","Mazama","Metachirus","Mitu","Myrmecophaga","Nasua","Nothocrax","Odontophorus","Panthera","Pecari","Penelope","Priodontes","Procyon","Psophia","Puma","Sciurus","Speothos","Sylvilagus","Tamandua","Tapirus","Tayassu","Tinamus"
9,0,0,7,3,0,0,0,0,0,6,0,3,21,0,0,0,0,39,0,0,0,0,0,0,0,0,0,17,0,0
3,0,3,70,26,0,0,0,0,3,45,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3
6,3,42,44,43,0,0,0,0,6,47,0,75,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,27,0,43
0,0,6,146,89,0,0,0,0,6,26,0,40,3,0,0,0,0,277,0,0,0,0,0,0,0,0,0,12,0,12
3,0,6,12,80,0,0,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,24,0,0,0,0,0,24,47,0
11,0,0,0,16,0,0,0,0,0,0,0,36,0,5,0,0,0,3,0,0,0,5,0,0,0,0,0,30,0,0
3,0,50,84,43,0,0,0,0,0,61,0,3,12,9,0,0,0,24,0,0,0,54,0,0,0,0,0,0,58,0
0,30,0,35,18,0,0,0,0,3,22,0,366,41,14,0,0,0,37,3,0,0,3,140,0,0,0,3,0,324,9
4,0,5,5,2,1,3,0,0,0,20,0,1,0,19,0,0,0,7,0,0,0,8,0,0,0,0,2,0,4,2
0,0,54,62,30,15,0,0,0,0,0,3,23,0,57,0,0,0,27,4,0,0,17,7,0,0,0,0,0,6,18
0,0,13,7,0,2,4,0,0,0,0,0,13,0,8,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,2
0,0,0,15,21,0,0,0,0,0,3,0,52,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0,0,51,93,6,0,0,0,0,0,3,0,107,6,3,0,0,0,190,15,0,0,0,0,0,0,0,0,0,0,0
0,0,0,35,9,0,0,0,0,0,27,0,36,0,6,0,0,0,49,0,0,0,0,0,0,0,0,0,15,0,0
