Camera.Trap.Name,Project.Name,Organization,latitude,longitude,altitude,declividade,water_dist,hfi,forest,grassland,pasture,water
CT-RBG-1-02,Gurupi,ICMBio/CENAP,-3.22661,-46.703027,102,2.09473991394043,2228.85457093,1,1,0,0,0
CT-RBG-1-03,Gurupi,ICMBio/CENAP,-3.227775,-46.691263,106,3.3102400302887,1847.2258591,1,1,0,0,0
CT-RBG-1-04,Gurupi,ICMBio/CENAP,-3.24028,-46729,101,1.10350000858307,3877.92297417,1,1,0,0,0
CT-RBG-1-06,Gurupi,ICMBio/CENAP,-3.239557,-46.691362,113,15.8520002365112,2817.7744377,1,1,0,0,0
CT-RBG-1-07,Gurupi,ICMBio/CENAP,-3.239535,-46.678685,107,2.06619000434875,1796.76716403,1,1,0,0,0
CT-RBG-1-09,Gurupi,ICMBio/CENAP,-3.25179,-46.766254,90,4.49486017227173,1466.06179785,1,1,0,0,0
CT-RBG-1-10,Gurupi,ICMBio/CENAP,-3.252062,-46.754054,91,5.72036981582642,2222.33968955,1,1,0,0,0
CT-RBG-1-11,Gurupi,ICMBio/CENAP,-3.251852,-46.741058,92,4.23891019821167,3203.53445113,1,1,0,0,0
CT-RBG-1-12,Gurupi,ICMBio/CENAP,-3.252206,-46.729105,107,5.21742010116577,3889.8734145,1,1,0,0,0
CT-RBG-1-13,Gurupi,ICMBio/CENAP,-3.25283,-46.71641,108,4.34048986434937,4639.72514638,1,1,0,0,0
CT-RBG-1-14,Gurupi,ICMBio/CENAP,-3.251912,-46.703151,101,6.36515998840332,4685.56144354,1,1,0,0,0
CT-RBG-1-15,Gurupi,ICMBio/CENAP,-3.252476,-46.691926,121,2.3586699962616,3845.28635136,1,0.853235024672511,0,0.146924931239299,0
CT-RBG-1-16,Gurupi,ICMBio/CENAP,-3.251619,-46.678616,108,3.61487007141113,2932.64428128,1,1,0,0,0
CT-RBG-1-18,Gurupi,ICMBio/CENAP,-3.264253,-46.76611,78,6.33932018280029,415.565451676,1,1,0,0,0
CT-RBG-1-19,Gurupi,ICMBio/CENAP,-3.264601,-46.753655,87,3.10277009010315,1260.3291538,1,1,0,0,0
CT-RBG-1-20,Gurupi,ICMBio/CENAP,-3.264619,-46.741838,94,2.62212991714478,1986.68622685,1,1,0,0,0
CT-RBG-1-21,Gurupi,ICMBio/CENAP,-3.264898,-46.729564,101,8.55722045898438,2705.75410078,1,1,0,0,0
CT-RBG-1-22,Gurupi,ICMBio/CENAP,-3.264918,-46.716692,98,3.99469995498657,3660.02912081,1,1,0,0,0
CT-RBG-1-23,Gurupi,ICMBio/CENAP,-3.265264,-46.703457,122,4.45478010177612,4714.07020754,1,1,0,0,0
CT-RBG-1-24,Gurupi,ICMBio/CENAP,-3.264437,-46.692177,103,7.33276987075806,4903.82832584,1,1,0,0,0
CT-RBG-1-25,Gurupi,ICMBio/CENAP,-3.26461,-46.679005,112,4.30183982849121,3881.72125839,1,1,0,0,0
CT-RBG-1-28,Gurupi,ICMBio/CENAP,-3.277744,-46.716098,100,5.04893016815186,2748.97001037,1,1,0,0,0
CT-RBG-1-29,Gurupi,ICMBio/CENAP,-3.277047,-46.704653,115,4.79232978820801,3735.12063124,1,1,0,0,0
CT-RBG-1-30,Gurupi,ICMBio/CENAP,-3.27748,-46.691937,119,7.49892997741699,4672.74127662,1,1,0,0,0
CT-RBG-1-33,Gurupi,ICMBio/CENAP,-3.289789,-46.716728,109,2.75789999961853,1833.81336868,1,1,0,0,0
CT-RBG-1-34,Gurupi,ICMBio/CENAP,-3.289653,-46.704125,106,4.60793018341064,2765.73119286,1,1,0,0,0
CT-RBG-1-35,Gurupi,ICMBio/CENAP,-3.289966,-46.691848,126,5.05684995651245,3844.17834676,1,1,0,0,0
CT-RBG-1-36,Gurupi,ICMBio/CENAP,-3.302349,-46.704251,116,6.36596012115479,2030.89114325,1,1,0,0,0
