FID;placename;longitude;latitude;RASTERVALU
0;CT-1003;-63,017991199999997;-9,141904300000000;1431,7800293
1;CT-1004;-63,005121500000001;-9,141904700000000;2865,7500000
2;CT-1005;-62,992251899999999;-9,141904600000000;4013,1000977
3;CT-1006;-62,979382200000003;-9,141904100000000;5265,4501953
4;CT-1041;-63,017991000000002;-9,129115000000001;1750,0000000
5;CT-1042;-63,005121000000003;-9,129149999999999;3037,2700195
6;CT-1043;-62,992249999999999;-9,129111000000000;4377,7797852
7;CT-1118;-63,005121000000003;-9,103535700000000;4830,3701172
8;CT-1119;-62,992252700000002;-9,103535600000001;5768,2299805
9;CT-1155;-63,017988600000002;-9,090745600000000;5481,7900391
10;CT-1156;-63,005120800000000;-9,090745999999999;6017,6801758
11;CT-1157;-62,992252999999998;-9,090745900000000;6793,5600586
12;CT-1193;-63,017988000000003;-9,077955899999999;5452,0600586
13;CT-1194;-63,005120599999998;-9,077956300000000;6901,6298828
14;CT-1195;-62,992253200000000;-9,077956199999999;7934,2597656
15;CT-143;-62,837680800000001;-9,436027100000000;5975,3701172
16;CT-144;-62,824800500000002;-9,436020900000001;5540,9799805
17;CT-145;-62,811920100000002;-9,436014200000001;5461,2299805
18;CT-146;-62,799039800000003;-9,436007099999999;5724,0698242
19;CT-168;-63,005125600000000;-9,423275000000000;2817,8000488
20;CT-173;-62,940725999999998;-9,423270000000000;5583,2299805
21;CT-181;-62,837686800000000;-9,423237700000000;6517,8598633
22;CT-182;-62,824806899999999;-9,423231500000000;6972,0898438
23;CT-183;-62,811927099999998;-9,423224800000000;6908,8701172
24;CT-204;-63,030158999999998;-9,410485000000000;2970,2700195
25;CT-205;-63,018005000000002;-9,410485000000000;4092,9799805
26;CT-206;-63,005125399999997;-9,410485500000000;4002,8100586
27;CT-207;-62,992246000000002;-9,410485500000000;3616,9699707
28;CT-208;-62,979366499999998;-9,410485000000000;3750,0000000
29;CT-210;-62,953607599999998;-9,410482500000001;5307,5400391
30;CT-211;-62,940728200000002;-9,410480600000000;4630,8701172
31;CT-213;-62,914969300000003;-9,410475300000000;2570,0200195
32;CT-219;-62,837692799999999;-9,410448199999999;5850,0000000
33;CT-220;-62,824813399999996;-9,410442099999999;7210,0600586
34;CT-221;-62,811934000000001;-9,410435500000000;8307,3798828
35;CT-240;-63,056641100000000;-9,397691600000000;3181,9799805
36;CT-242;-63,030158999999998;-9,397696000000000;3960,1101074
37;CT-244;-63,005125000000000;-9,397696000000000;2811,1398926
38;CT-245;-62,992249999999999;-9,397694000000000;2227,6699219
39;CT-246;-62,979367300000000;-9,397695499999999;2437,7199707
40;CT-247;-62,966488300000002;-9,397694500000000;3330,1699219
41;CT-248;-62,953609299999997;-9,397693000000000;4477,7202148
42;CT-249;-62,940730299999998;-9,397691099999999;3927,4699707
43;CT-251;-62,914972400000003;-9,397685900000001;1655,2900391
44;CT-252;-62,902093399999998;-9,397682500000000;667,0830078
45;CT-257;-62,837698699999997;-9,397658800000000;5466,4902344
46;CT-258;-62,824819800000000;-9,397652700000000;6902,5400391
47;CT-259;-62,811940900000003;-9,397646099999999;8293,6699219
48;CT-278;-63,056638999999997;-9,384902000000000;4621,9599609
49;CT-280;-63,030881999999998;-9,384905300000000;4537,8999023
50;CT-281;-63,018003499999999;-9,384906200000000;3225,6799316
51;CT-282;-63,005125000000000;-9,384907000000000;1878,8299561
52;CT-283;-62,992246999999999;-9,384907000000000;827,6469727
53;CT-284;-62,979368000000001;-9,384906000000001;1290,3499756
54;CT-285;-62,966489500000002;-9,384905000000000;2593,2600098
55;CT-286;-62,953611000000002;-9,384903599999999;3942,7099609
56;CT-287;-62,940732500000003;-9,384901599999999;3650,0000000
57;CT-288;-62,927854000000004;-9,384899300000001;2250,0000000
58;CT-289;-62,914975499999997;-9,384896400000001;800,0000000
59;CT-290;-62,902096999999998;-9,384893099999999;250,0000000
60;CT-291;-62,889218499999998;-9,384889299999999;180,2779999
61;CT-295;-62,837704700000003;-9,384869399999999;5427,9399414
62;CT-296;-62,824826199999997;-9,384863200000000;6872,0400391
63;CT-316;-63,056637000000002;-9,372112599999999;6016,8500977
64;CT-317;-63,043758900000000;-9,372114399999999;5610,9301758
65;CT-318;-63,030880900000000;-9,372115800000000;4214,5600586
66;CT-319;-63,018002899999999;-9,372116699999999;2821,7900391
67;CT-320;-63,005125000000000;-9,372116999999999;1394,6300049
68;CT-321;-62,992249999999999;-9,372116999999999;70,7107010
69;CT-322;-62,979368800000003;-9,372116500000001;1106,8000488
70;CT-323;-62,966490700000001;-9,372115500000000;2510,9799805
71;CT-324;-62,953612700000001;-9,372114099999999;3889,0900879
72;CT-325;-62,940734700000000;-9,372112200000000;3909,2800293
73;CT-326;-62,927856700000000;-9,372109800000000;2650,0000000
74;CT-327;-62,914978599999998;-9,372106900000000;1612,4499512
75;CT-328;-62,902100599999997;-9,372103600000001;1470,5400391
76;CT-329;-62,889222599999997;-9,372099800000001;1414,2099609
77;CT-355;-63,043757300000003;-9,359324900000001;5688,5800781
78;CT-356;-63,030879800000001;-9,359326299999999;4317,4101562
79;CT-357;-63,018002199999998;-9,359327199999999;2973,2099609
80;CT-358;-63,005124700000003;-9,359327600000000;1680,0300293
81;CT-359;-62,992247100000000;-9,359327499999999;1001,2500000
82;CT-360;-62,979369499999997;-9,359327000000000;1741,4100342
83;CT-361;-62,966492000000002;-9,359325999999999;3000,4199219
84;CT-362;-62,953614399999999;-9,359324600000001;4274,6298828
85;CT-363;-62,940736899999997;-9,359322700000000;4600,2700195
86;CT-364;-62,927859300000001;-9,359320300000000;3592,0100098
87;CT-366;-62,902104199999997;-9,359314100000001;2835,9299316
88;CT-393;-63,043755800000000;-9,346535400000000;6092,6201172
89;CT-394;-63,030878700000002;-9,346536800000001;4837,3500977
90;CT-395;-63,018002000000003;-9,346538000000001;3687,8200684
91;CT-396;-63,005124500000001;-9,346538100000000;2753,6298828
92;CT-397;-62,992247399999997;-9,346538000000001;2400,5200195
93;CT-398;-62,979370299999999;-9,346537500000000;2804,0100098
94;CT-399;-62,966493200000002;-9,346536499999999;3753,6599121
95;CT-400;-62,953616099999998;-9,346535100000001;4887,7402344
96;CT-401;-62,940739000000001;-9,346533200000000;5564,3999023
97;CT-402;-62,927861900000003;-9,346530800000000;4764,7099609
98;CT-432;-63,030877500000003;-9,333747300000001;5368,8901367
99;CT-434;-63,005124299999999;-9,333748600000000;4079,8300781
100;CT-435;-62,992247700000000;-9,333748500000000;3850,3200684
101;CT-436;-62,979371000000000;-9,333748000000000;4114,0000000
102;CT-437;-62,966494400000002;-9,333747000000001;4820,0097656
103;CT-438;-62,953617800000004;-9,333745600000000;5765,6298828
104;CT-439;-62,940741199999998;-9,333743699999999;6726,4399414
105;CT-440;-62,927864599999999;-9,333741300000000;6081,5297852
106;CT-445;-62,863481600000000;-9,333722399999999;4350,0000000
107;CT-446;-62,850605000000002;-9,333717200000001;4540,1000977
108;CT-447;-62,837728400000003;-9,333711600000001;5053,9599609
109;CT-470;-63,030876399999997;-9,320957699999999;3975,5500488
110;CT-471;-63,018000299999997;-9,320958600000001;4062,6298828
111;CT-472;-63,005124100000003;-9,320959000000000;4614,1098633
112;CT-473;-62,992247900000002;-9,320959000000000;5250,2402344
113;CT-474;-62,979371800000003;-9,320958500000000;5446,5600586
114;CT-475;-62,966495600000002;-9,320957500000000;5997,7099609
115;CT-476;-62,953619500000002;-9,320956000000001;6786,2001953
116;CT-477;-62,940743300000001;-9,320954100000000;7744,8398438
117;CT-478;-62,927867200000001;-9,320951800000000;6561,4399414
118;CT-479;-62,914991000000001;-9,320948899999999;5350,2299805
119;CT-483;-62,863486500000000;-9,320932900000001;2950,0000000
120;CT-484;-62,850610400000001;-9,320927700000000;3223,7399902
121;CT-485;-62,837734300000001;-9,320922100000001;3807,8898926
122;CT-486;-62,824858200000001;-9,320916000000000;4702,3901367
