FID,placename,longitude,latitude,RASTERVALU
0,CT-1003,-63.017991199999997,-9.141904300000000,400.0000000
1,CT-1004,-63.005121500000001,-9.141904700000000,694.6220093
2,CT-1005,-62.992251899999999,-9.141904600000000,400.0000000
3,CT-1006,-62.979382200000003,-9.141904100000000,250.0000000
4,CT-1041,-63.017991000000002,-9.129115000000001,282.8429871
5,CT-1042,-63.005121000000003,-9.129149999999999,412.3110046
6,CT-1043,-62.992249999999999,-9.129111000000000,70.7107010
7,CT-1118,-63.005121000000003,-9.103535700000000,0.0000000
8,CT-1119,-62.992252700000002,-9.103535600000001,111.8030014
9,CT-1155,-63.017988600000002,-9.090745600000000,100.0000000
10,CT-1156,-63.005120800000000,-9.090745999999999,751.6649780
11,CT-1157,-62.992252999999998,-9.090745900000000,250.0000000
12,CT-1193,-63.017988000000003,-9.077955899999999,206.1549988
13,CT-1194,-63.005120599999998,-9.077956300000000,111.8030014
14,CT-1195,-62.992253200000000,-9.077956199999999,158.1139984
15,CT-143,-62.837680800000001,-9.436027100000000,50.0000000
16,CT-144,-62.824800500000002,-9.436020900000001,320.1560059
17,CT-145,-62.811920100000002,-9.436014200000001,269.2579956
18,CT-146,-62.799039800000003,-9.436007099999999,250.0000000
19,CT-168,-63.005125600000000,-9.423275000000000,141.4210052
20,CT-173,-62.940725999999998,-9.423270000000000,901.3880005
21,CT-181,-62.837686800000000,-9.423237700000000,570.0880127
22,CT-182,-62.824806899999999,-9.423231500000000,390.5119934
23,CT-183,-62.811927099999998,-9.423224800000000,494.9750061
24,CT-204,-63.030158999999998,-9.410485000000000,304.1380005
25,CT-205,-63.018005000000002,-9.410485000000000,70.7107010
26,CT-206,-63.005125399999997,-9.410485500000000,403.1130066
27,CT-207,-62.992246000000002,-9.410485500000000,180.2779999
28,CT-208,-62.979366499999998,-9.410485000000000,400.0000000
29,CT-210,-62.953607599999998,-9.410482500000001,180.2779999
30,CT-211,-62.940728200000002,-9.410480600000000,670.8200073
31,CT-213,-62.914969300000003,-9.410475300000000,291.5480042
32,CT-219,-62.837692799999999,-9.410448199999999,320.1560059
33,CT-220,-62.824813399999996,-9.410442099999999,400.0000000
34,CT-221,-62.811934000000001,-9.410435500000000,390.5119934
35,CT-240,-63.056641100000000,-9.397691600000000,538.5159912
36,CT-242,-63.030158999999998,-9.397696000000000,1030.7800293
37,CT-244,-63.005125000000000,-9.397696000000000,150.0000000
38,CT-245,-62.992249999999999,-9.397694000000000,250.0000000
39,CT-246,-62.979367300000000,-9.397695499999999,552.2680054
40,CT-247,-62.966488300000002,-9.397694500000000,50.0000000
41,CT-248,-62.953609299999997,-9.397693000000000,250.0000000
42,CT-249,-62.940730299999998,-9.397691099999999,600.0000000
43,CT-251,-62.914972400000003,-9.397685900000001,651.9199829
44,CT-252,-62.902093399999998,-9.397682500000000,223.6069946
45,CT-257,-62.837698699999997,-9.397658800000000,100.0000000
46,CT-258,-62.824819800000000,-9.397652700000000,250.0000000
47,CT-259,-62.811940900000003,-9.397646099999999,141.4210052
48,CT-278,-63.056638999999997,-9.384902000000000,781.0250244
49,CT-280,-63.030881999999998,-9.384905300000000,813.9409790
50,CT-281,-63.018003499999999,-9.384906200000000,158.1139984
51,CT-282,-63.005125000000000,-9.384907000000000,650.0000000
52,CT-283,-62.992246999999999,-9.384907000000000,350.0000000
53,CT-284,-62.979368000000001,-9.384906000000001,728.0109863
54,CT-285,-62.966489500000002,-9.384905000000000,1000.0000000
55,CT-286,-62.953611000000002,-9.384903599999999,50.0000000
56,CT-287,-62.940732500000003,-9.384901599999999,111.8030014
57,CT-288,-62.927854000000004,-9.384899300000001,316.2279968
58,CT-289,-62.914975499999997,-9.384896400000001,471.6990051
59,CT-290,-62.902096999999998,-9.384893099999999,250.0000000
60,CT-291,-62.889218499999998,-9.384889299999999,200.0000000
61,CT-295,-62.837704700000003,-9.384869399999999,70.7107010
62,CT-296,-62.824826199999997,-9.384863200000000,602.0800171
63,CT-316,-63.056637000000002,-9.372112599999999,1081.6700439
64,CT-317,-63.043758900000000,-9.372114399999999,632.4559937
65,CT-318,-63.030880900000000,-9.372115800000000,50.0000000
66,CT-319,-63.018002899999999,-9.372116699999999,552.2680054
67,CT-320,-63.005125000000000,-9.372116999999999,838.1530151
68,CT-321,-62.992249999999999,-9.372116999999999,100.0000000
69,CT-322,-62.979368800000003,-9.372116500000001,494.9750061
70,CT-323,-62.966490700000001,-9.372115500000000,100.0000000
71,CT-324,-62.953612700000001,-9.372114099999999,640.3120117
72,CT-325,-62.940734700000000,-9.372112200000000,158.1139984
73,CT-326,-62.927856700000000,-9.372109800000000,320.1560059
74,CT-327,-62.914978599999998,-9.372106900000000,150.0000000
75,CT-328,-62.902100599999997,-9.372103600000001,200.0000000
76,CT-329,-62.889222599999997,-9.372099800000001,50.0000000
77,CT-355,-63.043757300000003,-9.359324900000001,800.0000000
78,CT-356,-63.030879800000001,-9.359326299999999,316.2279968
79,CT-357,-63.018002199999998,-9.359327199999999,550.0000000
80,CT-358,-63.005124700000003,-9.359327600000000,403.1130066
81,CT-359,-62.992247100000000,-9.359327499999999,452.7690125
82,CT-360,-62.979369499999997,-9.359327000000000,180.2779999
83,CT-361,-62.966492000000002,-9.359325999999999,100.0000000
84,CT-362,-62.953614399999999,-9.359324600000001,320.1560059
85,CT-363,-62.940736899999997,-9.359322700000000,403.1130066
86,CT-364,-62.927859300000001,-9.359320300000000,180.2779999
87,CT-366,-62.902104199999997,-9.359314100000001,206.1549988
88,CT-393,-63.043755800000000,-9.346535400000000,390.5119934
89,CT-394,-63.030878700000002,-9.346536800000001,150.0000000
90,CT-395,-63.018002000000003,-9.346538000000001,223.6069946
91,CT-396,-63.005124500000001,-9.346538100000000,250.0000000
92,CT-397,-62.992247399999997,-9.346538000000001,390.5119934
93,CT-398,-62.979370299999999,-9.346537500000000,400.0000000
94,CT-399,-62.966493200000002,-9.346536499999999,300.0000000
95,CT-400,-62.953616099999998,-9.346535100000001,100.0000000
96,CT-401,-62.940739000000001,-9.346533200000000,100.0000000
97,CT-402,-62.927861900000003,-9.346530800000000,0.0000000
98,CT-432,-63.030877500000003,-9.333747300000001,269.2579956
99,CT-434,-63.005124299999999,-9.333748600000000,0.0000000
100,CT-435,-62.992247700000000,-9.333748500000000,540.8330078
101,CT-436,-62.979371000000000,-9.333748000000000,206.1549988
102,CT-437,-62.966494400000002,-9.333747000000001,50.0000000
103,CT-438,-62.953617800000004,-9.333745600000000,304.1380005
104,CT-439,-62.940741199999998,-9.333743699999999,522.0150146
105,CT-440,-62.927864599999999,-9.333741300000000,250.0000000
106,CT-445,-62.863481600000000,-9.333722399999999,424.2640076
107,CT-446,-62.850605000000002,-9.333717200000001,316.2279968
108,CT-447,-62.837728400000003,-9.333711600000001,390.5119934
109,CT-470,-63.030876399999997,-9.320957699999999,100.0000000
110,CT-471,-63.018000299999997,-9.320958600000001,0.0000000
111,CT-472,-63.005124100000003,-9.320959000000000,570.0880127
112,CT-473,-62.992247900000002,-9.320959000000000,460.9769897
113,CT-474,-62.979371800000003,-9.320958500000000,335.4100037
114,CT-475,-62.966495600000002,-9.320957500000000,680.0739746
115,CT-476,-62.953619500000002,-9.320956000000001,447.2139893
116,CT-477,-62.940743300000001,-9.320954100000000,291.5480042
117,CT-478,-62.927867200000001,-9.320951800000000,707.1069946
118,CT-479,-62.914991000000001,-9.320948899999999,316.2279968
119,CT-483,-62.863486500000000,-9.320932900000001,50.0000000
120,CT-484,-62.850610400000001,-9.320927700000000,70.7107010
121,CT-485,-62.837734300000001,-9.320922100000001,650.0000000
122,CT-486,-62.824858200000001,-9.320916000000000,538.5159912
123,CT-509,-63.017999600000003,-9.308169100000001,604.1519775
124,CT-510,-63.005123900000001,-9.308169500000000,50.0000000
125,CT-511,-62.992248199999999,-9.308169400000001,694.6220093
126,CT-512,-62.979372499999997,-9.308168900000000,200.0000000
127,CT-513,-62.966496900000003,-9.308168000000000,427.2000122
128,CT-514,-62.953621200000001,-9.308166500000000,813.9409790
129,CT-515,-62.940745499999998,-9.308164600000000,158.1139984
130,CT-516,-62.927869800000003,-9.308162200000000,158.1139984
131,CT-521,-62.863491500000002,-9.308143400000001,111.8030014
132,CT-522,-62.850615800000000,-9.308138200000000,100.0000000
133,CT-523,-62.837740199999999,-9.308132600000000,212.1320038
134,CT-524,-62.824864599999998,-9.308126500000000,158.1139984
135,CT-549,-62.992248500000002,-9.295379900000000,100.0000000
136,CT-551,-62.966498100000003,-9.295378400000001,50.0000000
137,CT-552,-62.953622899999999,-9.295377000000000,50.0000000
138,CT-555,-62.914997200000002,-9.295369900000001,604.1519775
139,CT-556,-62.902121999999999,-9.295366599999999,0.0000000
140,CT-560,-62.850621300000000,-9.295348700000000,0.0000000
141,CT-561,-62.837746099999997,-9.295343100000000,492.4429932
142,CT-562,-62.824870900000001,-9.295337000000000,250.0000000
143,CT-591,-62.940749799999999,-9.282585500000000,100.0000000
144,CT-592,-62.927875000000000,-9.282583199999999,335.4100037
145,CT-593,-62.915000300000003,-9.282580299999999,450.0000000
146,CT-594,-62.902125599999998,-9.282577000000000,50.0000000
147,CT-595,-62.889250799999999,-9.282573299999999,206.1549988
148,CT-599,-62.837752000000002,-9.282553600000000,424.2640076
149,CT-629,-62.940751900000002,-9.269795999999999,269.2579956
150,CT-630,-62.927877700000003,-9.269793600000000,100.0000000
151,CT-631,-62.915003400000003,-9.269790800000001,335.4100037
152,CT-632,-62.902129100000003,-9.269787500000000,450.0000000
153,CT-633,-62.889254899999997,-9.269783700000000,900.0000000
154,CT-667,-62.940754099999999,-9.257006400000000,460.9769897
155,CT-668,-62.927880299999998,-9.257004000000000,150.0000000
156,CT-669,-62.915006499999997,-9.257001199999999,873.2119751
157,CT-670,-62.902132700000003,-9.256997900000000,200.0000000
158,CT-671,-62.889258900000002,-9.256994199999999,1140.1800537
159,CT-705,-62.940756200000003,-9.244216800000000,70.7107010
160,CT-706,-62.927882900000000,-9.244214500000000,502.4939880
161,CT-707,-62.915009499999996,-9.244211699999999,223.6069946
162,CT-708,-62.902136200000001,-9.244208400000000,50.0000000
163,CT-709,-62.889262899999999,-9.244204600000000,492.4429932
164,CT-736,-63.030869000000003,-9.231431000000001,200.0000000
165,CT-743,-62.940758400000000,-9.231427200000001,291.5480042
166,CT-744,-62.927885500000002,-9.231424900000000,494.9750061
167,CT-745,-62.915012599999997,-9.231422100000000,390.5119934
168,CT-746,-62.902139699999999,-9.231418800000000,100.0000000
169,CT-747,-62.889266900000003,-9.231415100000000,855.8619995
170,CT-774,-63.030861000000002,-9.218639000000000,150.0000000
171,CT-775,-63.017994999999999,-9.218641999999999,320.1560059
172,CT-776,-63.005122600000000,-9.218642500000000,585.2349854
173,CT-781,-62.940760500000003,-9.218637599999999,50.0000000
174,CT-783,-62.915015699999998,-9.218632500000000,158.1139984
175,CT-784,-62.902143199999998,-9.218629200000001,360.5549927
176,CT-813,-63.017994399999999,-9.205852500000001,700.0000000
177,CT-814,-63.005122399999998,-9.205852900000000,600.0000000
178,CT-851,-63.017993699999998,-9.193062800000000,626.4979858
179,CT-852,-63.005122200000002,-9.193063300000000,180.2779999
180,CT-889,-63.017993099999998,-9.180273200000000,531.5070190
181,CT-890,-63.005122100000001,-9.180273600000000,206.1549988
182,CT-927,-63.017992499999998,-9.167483600000001,50.0000000
183,CT-928,-63.005121899999999,-9.167484000000000,450.0000000
184,CT-929,-62.992251300000000,-9.167483900000001,494.9750061
185,CT-930,-62.979380700000000,-9.167483400000000,70.7107010
186,CT-931,-62.966510100000001,-9.167482500000000,223.6069946
187,CT-965,-63.017991799999997,-9.154693900000000,206.1549988
188,CT-966,-63.005121699999997,-9.154694299999999,206.1549988
189,CT-967,-62.992251600000003,-9.154694299999999,335.4100037
190,CT-968,-62.979381500000002,-9.154693800000000,1171.5400391
191,CT-969,-62.966511300000001,-9.154692799999999,180.2779999
